"respondent_id","timestamp","time_to_complete","q_email","q_age","q_gender","q_gender_text","q_education","q1_satisfaction","q2_satisfaction","q3_satisfaction","q4_satisfaction","q5_satisfaction","q6_trust","q7_trust","q8_trust","q9_trust","q10_trust","q11_multiselect_salomon","q11_multiselect_topo","q11_multiselect_saucony","q11_multiselect_brooks","q11_multiselect_asics","q11_multiselect_hoka","q11_multiselect_a_different_brand_not_listed_here","q12_likert","q13_attention","q14_text","q15_miles_per_week"
110,2026-01-11 19:11:38.391162,6.5,"user110@example.com",35,"Male",NA,"Some college","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Salomon","Topo",NA,NA,NA,"Hoka",NA,"Disagree","Yes, I'm paying attention","Not what I expected!",38
111,2026-01-09 03:51:54.409896,7.2,"user111@example.com",31,"Male",NA,"Master's degree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2026-01-14 03:31:37.123398,7.5,"user112@example.com",65,"Female",NA,"Less than high school","Agree","Neither Agree Nor Disagree","Agree","Agree","Neither Agree Nor Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",NA,NA,NA,NA,"Asics",NA,NA,"Disagree","Yes, I'm paying attention","Could use some improvement.",48
113,2026-01-27 07:45:53.773939,5.6,"user113@example.com",28,"Male",NA,"Bachelor's degree","Agree","Agree","Agree","Agree","Strongly Agree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Salomon",NA,"Saucony",NA,NA,NA,"A different brand, not listed here",NA,"Yes, I'm paying attention","Not what I expected.",18
114,2026-01-03 08:43:19.572267,6.8,"user114@example.com",59,"Female",NA,"Doctorate degree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Strongly Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2026-01-24 00:53:12.167511,7.5,"user115@example.com",36,"Female",NA,"Bachelor's degree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Salomon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,2026-01-04 21:00:23.729778,5,"user116@example.com",19,"Female",NA,"Bachelor's degree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Strongly Agree","Strongly Agree","Agree",NA,NA,"Saucony",NA,NA,"Hoka","A different brand, not listed here","Disagree","Yes, I'm paying attention","I really liked this experience!",NA
117,2026-01-16 12:08:15.800724,8.9,"user117@example.com",68,"Male",NA,"High school diploma","Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Disagree",NA,NA,"Saucony",NA,NA,NA,NA,"Disagree","Yes, I'm paying attention","Well organized and clear.",31
118,2026-01-24 08:56:06.657304,9.2,"user118@example.com",31,"Male",NA,"Bachelor's degree","Agree","Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,"Disagree","Yes, I'm paying attention","Not what I expected!",30
119,2026-01-13 19:02:09.184795,8.7,"user119@example.com",65,NA,NA,"Less than high school","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2026-01-18 17:26:45.580555,8,"user11@example.com",33,"Male",NA,"Bachelor's degree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree",NA,NA,NA,"Brooks","Asics",NA,"A different brand, not listed here","Neither Agree Nor Disagree","Yes, I'm paying attention","lorem ipsum 123!",1
120,2026-01-05 11:04:03.756359,6.3,"user120@example.com",30,"Female",NA,"Master's degree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree",NA,"Topo",NA,"Brooks",NA,"Hoka",NA,"Disagree","Yes, I'm paying attention","I really liked this experience!",26
121,2026-01-31 23:15:11.328397,7,"user121@example.com",71,"Male",NA,"Bachelor's degree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,"Disagree",NA,"Could use some improvement",32
122,2026-01-26 11:49:14.796452,9.8,"user122@example.com",61,"Male",NA,"Some college","Agree","Strongly Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Disagree",NA,NA,NA,NA,NA,"Hoka",NA,"Disagree","Yes, I'm paying attention","Could use some improvement",46
123,2026-01-24 10:39:48.854695,6.2,"user123@example.com",22,"Male",NA,"Bachelor's degree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,"Hoka","A different brand, not listed here",NA,NA,NA,NA
124,2026-01-02 15:23:19.783992,5.7,"user124@example.com",31,"Female",NA,"Bachelor's degree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree",NA,NA,NA,"Brooks","Asics","Hoka",NA,"Strongly Disagree","Yes, I'm paying attention","I learned a lot from this",35
125,2026-01-27 10:55:54.830988,8.2,"user125@example.com",31,"Female",NA,"High school diploma","Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,2026-01-08 05:07:18.234805,9.5,"user126@example.com",18,"Male",NA,"Master's degree","Strongly Agree","Agree","Agree","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,"Brooks",NA,NA,NA,"Disagree",NA,"No strong opinion.",22
127,2026-01-06 22:46:26.470724,4.9,"user127@example.com",57,"Male",NA,"Bachelor's degree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,"Saucony",NA,"Asics",NA,NA,"Strongly Disagree","Yes, I'm paying attention","I really liked this experience",41
128,2026-01-23 03:24:22.779466,8.4,"user128@example.com",20,"Female",NA,"Bachelor's degree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,2026-01-25 04:39:32.310789,9.6,"user129@example.com",20,"Male",NA,"Bachelor's degree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Agree","Disagree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,"Topo",NA,NA,NA,"Hoka",NA,"Disagree",NA,"No strong opinion",37
12,2026-01-05 23:46:16.714698,7.3,"user12@example.com",50,"Male",NA,"High school diploma","Agree","Agree","Neither Agree Nor Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree",NA,NA,NA,"Brooks",NA,NA,"A different brand, not listed here","Neither Agree Nor Disagree","Yes, I'm paying attention","Could use some improvement!",35
130,2026-01-11 05:13:10.915692,5.9,"user130@example.com",45,"Female",NA,"Master's degree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree",NA,NA,NA,"Brooks",NA,"Hoka",NA,"Disagree",NA,NA,NA
131,2026-01-04 14:49:39.388151,6.1,"user131@example.com",34,"Female",NA,"Master's degree","Agree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,2026-01-25 08:49:24.266286,6.5,"user132@example.com",46,"Male",NA,"Less than high school","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree",NA,NA,"Saucony",NA,"Asics",NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","I learned a lot from this",55
133,2026-01-11 00:00:39.504426,7.9,"user133@example.com",70,"Female",NA,"Less than high school","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Strongly Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree","Agree","Neither Agree Nor Disagree","Agree",NA,"Topo",NA,NA,NA,NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","Not what I expected",29
134,2026-01-15 05:43:19.061507,7.5,"user134@example.com",66,"Male",NA,"Bachelor's degree","Neither Agree Nor Disagree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Agree","Strongly Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","It was confusing at times.",33
135,2026-01-05 01:27:47.761644,7,"user135@example.com",56,"Female",NA,"Some college","Neither Agree Nor Disagree","Agree","Agree","Neither Agree Nor Disagree","Agree","Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,"A different brand, not listed here","Strongly Disagree","Yes, I'm paying attention","Not what I expected",40
136,2026-01-18 13:41:28.052789,7.2,"user136@example.com",58,"Female",NA,"High school diploma","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,"Neither Agree Nor Disagree","Yes, I'm paying attention","lorem ipsum 123.",42
137,2026-01-12 03:08:10.764742,6.3,"user137@example.com",63,"Female",NA,"High school diploma","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Disagree","Neither Agree Nor Disagree","Salomon",NA,NA,NA,NA,NA,NA,"Strongly Disagree","Just here for the vibes","Not what I expected!",31
138,2026-01-25 02:35:24.652333,6,"user138@example.com",19,NA,NA,"Less than high school","Neither Agree Nor Disagree","Agree","Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,"Brooks",NA,NA,"A different brand, not listed here","Neither Agree Nor Disagree","Just here for the vibes","I really liked this experience.",34
139,2026-01-27 22:27:01.41959,6.8,"user139@example.com",47,"Male",NA,"High school diploma","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Salomon",NA,NA,NA,"Asics",NA,NA,"Neither Agree Nor Disagree","Yes, I'm paying attention","No strong opinion",18
13,2026-01-28 02:44:49.81004,7.5,"user13@example.com",24,"Male",NA,"High school diploma","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Yes, I'm paying attention","It was confusing at times!",33
140,2026-01-31 03:47:21.802,8.4,"user140@example.com",37,"Male",NA,"High school diploma","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Strongly Disagree","Strongly Disagree",NA,NA,"Saucony",NA,NA,NA,NA,"Strongly Disagree","Yes, I'm paying attention","Not what I expected.",25
141,2026-01-14 02:07:55.396865,7.5,"user141@example.com",62,"Non-binary",NA,"Bachelor's degree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,"Disagree","Yes, I'm paying attention",NA,NA
142,2026-01-04 23:13:16.826543,25.6,"user142@example.com",28,"Female",NA,"High school diploma","Neither Agree Nor Disagree","Disagree","Agree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Agree","Agree","Disagree","Agree",NA,NA,NA,NA,NA,NA,"A different brand, not listed here","Neither Agree Nor Disagree","Yes, I'm paying attention","Well organized and clear",38
143,2026-01-26 03:43:00.55216,6.6,"user143@example.com",73,"Female",NA,"Doctorate degree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Salomon",NA,"Saucony","Brooks",NA,NA,NA,"Disagree","Yes, I'm paying attention","No strong opinion",48
144,2026-01-17 17:38:10.772695,5,"user144@example.com",73,"Female",NA,"Less than high school","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree",NA,NA,"Saucony",NA,"Asics",NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","It was confusing at times!",29
145,2026-01-23 00:57:40.498302,5.3,"user145@example.com",38,"Female",NA,"High school diploma","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Neither Agree Nor Disagree","Strongly Disagree","Salomon",NA,NA,"Brooks",NA,"Hoka",NA,"Disagree","Yes, I'm paying attention","Well organized and clear",34
146,2026-01-31 01:00:17.2402,6,"user146@example.com",67,"Non-binary",NA,"Bachelor's degree","Strongly Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree",NA,NA,NA,"Brooks",NA,"Hoka",NA,"Strongly Disagree","Yes, I'm paying attention","It was confusing at times!",29
147,2026-01-05 12:13:30.220784,4.6,"user147@example.com",62,"Female",NA,"Some college","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, I'm paying attention","lorem ipsum 123!",28
148,2026-01-06 23:22:34.249551,4.2,"user148@example.com",72,"Female",NA,"Some college","Neither Agree Nor Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree",NA,NA,NA,NA,"Asics",NA,NA,"Strongly Disagree","Yes, I'm paying attention","I learned a lot from this",20
149,2026-01-18 12:37:04.194447,5.9,"user149@example.com",66,"Female",NA,"Bachelor's degree","Strongly Disagree","Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree",NA,NA,"Saucony",NA,NA,"Hoka","A different brand, not listed here","Disagree","Yes, I'm paying attention","It was confusing at times",51
14,2026-01-22 20:25:56.866758,3.1,"user14@example.com",48,"Non-binary",NA,"Bachelor's degree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2026-01-12 04:49:11.10242,7.4,"user150@example.com",44,"Female",NA,"Master's degree","Neither Agree Nor Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,"Brooks",NA,NA,"A different brand, not listed here","Disagree","Yes, I'm paying attention","It was confusing at times!",16
151,2026-01-09 21:17:39.737033,8.4,"user151@example.com",51,"Male",NA,"Bachelor's degree","Neither Agree Nor Disagree","Strongly Agree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Yes, I'm paying attention","Well organized and clear!",31
152,2026-01-04 23:14:55.675736,5.7,"user152@example.com",63,"Male",NA,"High school diploma","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"Disagree","Yes, I'm paying attention","lorem ipsum 123.",26
153,2026-01-08 19:23:24.710566,6.4,"user153@example.com",38,"Female",NA,"Bachelor's degree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Salomon","Topo","Saucony",NA,NA,NA,NA,"Neither Agree Nor Disagree","Yes, I'm paying attention","Well organized and clear.",32
154,2026-01-03 06:54:37.32762,9.8,"user154@example.com",49,"Male",NA,"Master's degree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Yes, I'm paying attention","Well organized and clear.",34
155,2026-01-05 12:49:03.787365,4,"user155@example.com",55,"Female",NA,"High school diploma","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Agree","Agree","Neither Agree Nor Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,"A different brand, not listed here",NA,"Yes, I'm paying attention","I learned a lot from this",35
156,2026-01-08 12:05:29.154233,2.7,"user156@example.com",47,"Male",NA,"Some college","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,2026-01-19 12:14:15.325871,6.3,"user157@example.com",75,"Male",NA,"Less than high school","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Yes, I'm paying attention","Well organized and clear.",36
158,2026-01-03 00:31:46.342379,7,"user158@example.com",40,"Female",NA,"Master's degree","Agree","Agree","Agree","Agree","Strongly Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,"Neither Agree Nor Disagree","Yes, I'm paying attention","Well organized and clear.",33
159,2026-01-08 22:28:20.24121,6.8,"user159@example.com",33,"Male",NA,"Less than high school","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Agree","Strongly Agree","Neither Agree Nor Disagree","Salomon",NA,NA,NA,"Asics",NA,NA,"Disagree","Yes, I'm paying attention","zzzz aaa bbb",31
15,2026-02-01 09:34:04.440201,7.9,"user15@example.com",20,"Male",NA,"High school diploma","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree",NA,"Topo","Saucony",NA,NA,NA,NA,NA,NA,NA,NA
160,2026-01-21 05:09:43.838763,7.2,"user160@example.com",20,"Female",NA,"Bachelor's degree","Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree",NA,NA,"Saucony",NA,"Asics",NA,"A different brand, not listed here","Neither Agree Nor Disagree","Yes, I'm paying attention","I really liked this experience!",38
161,2026-01-25 22:26:58.291101,6.9,"user161@example.com",45,"Female",NA,"High school diploma","Neither Agree Nor Disagree","Strongly Agree","Agree","Agree","Agree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,"Agree","Yes, I'm paying attention","Could use some improvement.",31
162,2026-01-06 23:16:20.290807,6.4,"user162@example.com",55,"Male",NA,"High school diploma","Agree","Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree",NA,NA,"Saucony",NA,NA,"Hoka","A different brand, not listed here","Neither Agree Nor Disagree","Yes, I'm paying attention",NA,NA
163,2026-01-07 18:29:01.312173,9.6,"user163@example.com",31,"Male",NA,"High school diploma","Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree",NA,NA,NA,"Brooks",NA,"Hoka","A different brand, not listed here","Disagree","I'm definitely not paying attention","Not what I expected.",44
164,2026-01-23 15:49:08.116451,5.3,"user164@example.com",73,"Female",NA,"Master's degree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Disagree","Disagree","Agree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,2026-01-09 10:51:59.748739,7.9,"user165@example.com",21,"Male",NA,"Some college","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Agree","Neither Agree Nor Disagree","Neither Agree Nor Disagree","Salomon",NA,NA,"Brooks",NA,"Hoka",NA,"Neither Agree Nor Disagree","Yes, I'm paying attention","No strong opinion!",34
166,2026-01-24 23:42:30.044151,6.5,"user166@example.com",29,"Female",NA,"Some college","Strongly Agree","Strongly Agree","Agree","Neither Agree Nor Disagree","Strongly Agree","Disagree","Disagree","Neither Agree Nor Disagree","Disagree","Neither Agree Nor Disagree",NA,"Topo","Saucony",NA,NA,NA,"A different brand, not listed here","Strongly Disagree","Yes, I'm paying attention","No strong opinion",36
